,elder,asiatic,anycondition_number,Obesity_number,COPD_number,diabetes_number,CKD_number
1731,26096.0,14003.0,117297.0,95439.0,20116.0,31720.0,8526.0
1732,10427.0,3307.0,52412.0,39660.0,9193.0,14265.0,3459.0
1733,703.0,31.0,4807.0,3849.0,685.0,1732.0,400.0
1734,2735.0,204.0,13118.0,9300.0,2503.0,2990.0,855.0
1735,1115.0,29.0,4985.0,3693.0,1182.0,1353.0,353.0
1736,2001.0,89.0,10959.0,8102.0,2337.0,2786.0,673.0
1737,6567.0,525.0,36113.0,24346.0,6955.0,10465.0,2427.0
1738,1352.0,117.0,5329.0,4038.0,1019.0,1612.0,423.0
1739,2493.0,163.0,13042.0,9480.0,2530.0,3100.0,866.0
1740,50.0,41.0,222.0,162.0,43.0,70.0,18.0
1741,1386.0,70.0,5507.0,4013.0,973.0,1240.0,363.0
1742,2248.0,205.0,8206.0,6380.0,1867.0,2415.0,633.0
1743,1556.0,213.0,6735.0,5102.0,1234.0,1644.0,542.0
1744,248.0,5.0,836.0,683.0,150.0,220.0,67.0
1745,22439.0,2374.0,53270.0,34573.0,13045.0,17132.0,5136.0
1746,779.0,42.0,2885.0,2213.0,475.0,755.0,195.0
1747,450.0,43.0,2338.0,1706.0,444.0,687.0,170.0
1748,183.0,12.0,723.0,556.0,113.0,182.0,50.0
1749,1375.0,155.0,8290.0,6398.0,1363.0,2184.0,537.0
1750,1064.0,31.0,4720.0,3392.0,1085.0,1350.0,329.0
1751,256.0,8.0,1306.0,939.0,254.0,354.0,95.0
1752,2239.0,133.0,9278.0,6690.0,1695.0,2410.0,632.0
1753,866.0,44.0,4764.0,3535.0,932.0,1719.0,385.0
1754,2730.0,264.0,13348.0,9524.0,2942.0,3881.0,996.0
1755,25714.0,16847.0,61566.0,44457.0,11266.0,19071.0,6111.0
1756,3329.0,409.0,19176.0,14340.0,3254.0,5451.0,1302.0
1757,6600.0,494.0,33307.0,24755.0,7237.0,8370.0,2208.0
1758,13785.0,29418.0,81868.0,60995.0,12059.0,19490.0,5309.0
1759,2861.0,280.0,12353.0,10091.0,2587.0,3270.0,879.0
1760,634.0,5.0,2233.0,1488.0,613.0,704.0,180.0
1761,45649.0,65911.0,224913.0,171994.0,38276.0,60296.0,16883.0
1762,1760.0,119.0,8530.0,6308.0,1733.0,2676.0,655.0
1763,1628.0,129.0,7260.0,5860.0,1082.0,1616.0,454.0
1764,955.0,59.0,4206.0,3072.0,794.0,1096.0,285.0
1765,1802.0,172.0,7746.0,5806.0,1697.0,2173.0,547.0
1766,11876.0,2493.0,56990.0,44013.0,10663.0,15898.0,3690.0
1767,1062.0,85.0,4156.0,2959.0,940.0,1502.0,371.0
1768,668.0,11.0,3109.0,2186.0,770.0,902.0,213.0
1769,249.0,9.0,813.0,575.0,147.0,236.0,73.0
1770,2156.0,207.0,7904.0,5450.0,1911.0,2422.0,635.0
1771,19586.0,16149.0,58146.0,40147.0,11518.0,17331.0,6072.0
1772,1282.0,158.0,6599.0,5702.0,795.0,1319.0,395.0
1773,2012.0,141.0,10130.0,7553.0,1491.0,2362.0,662.0
1774,240.0,6.0,1164.0,825.0,276.0,353.0,90.0
1775,1851.0,89.0,7631.0,6405.0,1092.0,1834.0,539.0
1776,525.0,17.0,2223.0,1679.0,482.0,651.0,168.0
1777,6555.0,316.0,20852.0,15454.0,3247.0,5348.0,1636.0
1778,2779.0,110.0,9076.0,6559.0,1685.0,2439.0,700.0
1779,428.0,54.0,1728.0,1228.0,346.0,483.0,127.0
1780,194.0,21.0,1409.0,1062.0,299.0,413.0,103.0
1781,1034.0,29.0,5857.0,4259.0,1330.0,1483.0,379.0
1782,2293.0,1074.0,10945.0,9070.0,1715.0,2564.0,780.0
1783,1289.0,142.0,5242.0,3732.0,1243.0,1514.0,374.0
1784,1189.0,38.0,5560.0,4144.0,1086.0,1700.0,422.0
1785,6640.0,1877.0,38479.0,31519.0,6700.0,8198.0,2303.0
1786,2203.0,93.0,9235.0,6391.0,2196.0,2666.0,673.0
1787,283.0,34.0,1264.0,893.0,260.0,455.0,107.0
1788,5619.0,912.0,22722.0,16605.0,4555.0,6289.0,1864.0
1789,1778.0,38.0,9432.0,6745.0,2552.0,2687.0,644.0
1790,6706.0,404.0,28370.0,18371.0,6260.0,7891.0,2117.0
1791,1213.0,134.0,3849.0,2803.0,821.0,1120.0,367.0
1792,3099.0,215.0,14148.0,9971.0,2720.0,3539.0,859.0
1793,1045.0,66.0,5135.0,3826.0,978.0,1359.0,359.0
